Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
242,,39,242,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",IT Provider (P),Hewlett-Packard,United States,2012,Industry,8064,0,88373.0,167731.0,52.69,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
243,147.0,37,104,,"Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE",Financial Services Company (G),Hewlett-Packard,United States,2011,Industry,20784,0,87542.8,174585.6,50.14,0,0,,,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",HP DL165 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
244,148.0,35,63,Layon,Bull bullx super-node S6010/S6030,Bull,Bull SA,France,2010,Vendor,11520,0,87470.0,104602.0,83.62,1643136,0,,,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
245,149.0,36,87,Curie fat nodes,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband",CEA/TGCC-GENCI,Bull SA,France,2010,Research,11520,0,87470.0,104417.0,83.77,1643136,0,108.8,803.95,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
246,218.0,37,129,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Energy Company (A),IBM,Italy,2011,Industry,10224,0,87438.39,109028.74,80.2,0,0,335.48,260.64,Cluster,Xeon X5550 4C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
247,150.0,36,213,,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Telecommunication Company,IBM,China,2010,Industry,15504,0,87365.0,156900.48,55.68,0,0,490.18,178.23,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
249,152.0,38,152,,"HP DL160 Cluster G6, Xeon E5640 4C 2.67 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,16020,0,87095.0,170453.0,51.1,0,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,None,4,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
250,,39,250,,"Cluster Platform 4000 BL685c G7, Opteron 6276 16C 2.30GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,United States,2012,Industry,18688,0,86931.73,171930.0,50.56,0,0,,,Cluster,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
251,,39,251,,"Cluster Platform 4000 BL685c G7, Opteron 6140 8C 2.60GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,China,2012,Industry,16288,0,86463.4,169395.0,51.04,0,0,,,Cluster,Opteron 6140 8C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
252,,39,252,rzuseq,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2012,Research,8192,0,86346.0,104858.0,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom,North America,Americas
253,,39,253,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM Thomas J. Watson Research Center,IBM,United States,2012,Research,8192,0,86346.0,104858.0,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom,North America,Americas
254,,39,254,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2012,Industry,13914,0,86189.3,170307.0,50.61,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
255,153.0,38,153,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Financial Institution,Hewlett-Packard,United States,2011,Industry,15816,0,86054.0,168282.24,51.14,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
257,158.0,38,158,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
258,159.0,38,159,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
259,160.0,38,160,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
260,161.0,38,161,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
261,162.0,38,162,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
262,163.0,38,163,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
263,164.0,38,164,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
264,165.0,38,165,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
265,166.0,38,166,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
266,155.0,38,155,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
267,156.0,38,156,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
268,157.0,38,157,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090",Geoscience (P),IBM,United States,2011,Industry,6776,4928,85843.0,224483.0,38.24,0,0,99.14,865.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
269,,39,269,,"Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Infiniband QDR",Geoscience (P),Hewlett-Packard,United States,2012,Industry,10368,0,85007.48,110316.0,77.06,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL170s,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
270,,39,270,,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Numazu Complex, Fujitsu Limited",Fujitsu,Japan,2012,Vendor,6144,0,84400.0,90833.0,92.92,1655808,0,,,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
271,,39,271,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",Arrow Enterprise Computing Solutions,Hewlett-Packard,United States,2012,Industry,13602,0,84358.7,166488.0,50.67,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
272,167.0,38,167,,"Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.40 GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2011,Industry,17280,0,84344.0,165888.0,50.84,0,0,,,Cluster,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
273,,39,273,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683.0,165093.0,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
274,,39,274,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683.0,165093.0,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
275,,39,275,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,13488,0,83683.0,165093.0,50.69,0,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
276,,39,276,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",Logistic Services (E),Hewlett-Packard,United States,2012,Industry,15342,0,83611.0,163239.0,51.22,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
278,168.0,34,57,Graph,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR",Lawrence Livermore National Laboratory,Appro International,United States,2009,Research,13440,0,83080.0,107500.0,77.28,1370880,685440,700.0,118.69,Cluster,Opteron Quad Core 4C 2.000GHz,AMD x86_64,2000,Linux,Linux,None,4,Opteron Quad Core,Appro Xtreme-X3,Appro XtremeServer,Infiniband,Infiniband DDR,North America,Americas
279,169.0,37,111,Typhoon,"Appro Xtreme Opteron 2 GHz, Infiniband QDR",Los Alamos National Laboratory,Appro International,United States,2011,Research,13312,0,83050.0,106500.0,77.98,873600,436800,,,Cluster,Opteron 6128 8C 2.000GHz,AMD x86_64,2000,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Appro XtremeServers,Appro XtremeServer,Infiniband,Infiniband QDR,North America,Americas
280,,39,280,,"Cluster Platform SL230s/SL250s, Xeon E5-2670 8C 2.60GHz, Infiniband QDR",National Institute of Genetics,Hewlett-Packard,Japan,2012,Research,5616,0,82900.0,116813.0,70.97,1503761,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s/SL250s,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
281,,39,281,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430.0,161856.0,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
282,,39,282,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430.0,161856.0,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
283,,39,283,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,16860,0,82430.0,161856.0,50.93,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
284,170.0,29,5,New York Blue,eServer Blue Gene Solution,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,United States,2007,Research,36864,0,82161.0,103219.2,79.6,0,0,403.0,203.87,MPP,PowerPC 440 2C 700MHz,Power,700,CNK/SLES 9,Mixed,None,2,PowerPC 440,BlueGene/L,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
285,,39,285,,"xSeries x3650 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Internet Service,IBM,China,2012,Industry,14556,0,82023.0,147307.0,55.68,0,0,441.53,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
286,,39,286,,"Cluster Platform 4000 BL465c, Opteron 6134 8C 2.30GHz, Gigabit Ethernet",Government,Hewlett-Packard,Canada,2012,Government,17472,0,81666.1,160742.0,50.81,0,0,,,Cluster,Opteron 6134 8C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL465c,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
287,174.0,35,153,,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Defense,IBM,United States,2010,Industry,9648,0,81664.0,109215.36,74.77,0,0,380.23,214.78,Cluster,Xeon E54440 4C 2.830GHz,Intel Core,2830,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",BladeCenter HS21 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
288,175.0,35,154,,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Defense,IBM,United States,2010,Industry,9648,0,81664.0,109215.36,74.77,0,0,380.23,214.78,Cluster,Xeon E54440 4C 2.830GHz,Intel Core,2830,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",BladeCenter HS21 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
289,172.0,35,149,,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Defense,IBM,United States,2010,Industry,9648,0,81664.0,109215.36,74.77,0,0,380.23,214.78,Cluster,Xeon E54440 4C 2.830GHz,Intel Core,2830,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",BladeCenter HS21 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
290,173.0,35,151,,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Defense,IBM,United States,2010,Industry,9648,0,81664.0,109215.36,74.77,0,0,380.23,214.78,Cluster,Xeon E54440 4C 2.830GHz,Intel Core,2830,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",BladeCenter HS21 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
292,,39,292,,"iDataPlex DX360M3, Xeon X5650 6C 2.660GHz, Gigabit Ethernet",Financial Institution (P),IBM,United Kingdom,2012,Industry,14400,0,81144.39,153216.0,52.96,0,0,376.75,215.38,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
293,176.0,36,183,,"BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet",Semiconductor Company (C),IBM,United States,2010,Industry,14328,0,80739.0,167924.16,48.08,0,0,486.0,166.13,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
294,177.0,34,59,Mana,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.8Ghz, Infiniband",Maui High-Performance Computing Center (MHPCC),Dell,United States,2009,Research,9210,0,80580.0,103219.0,78.07,0,0,,,Cluster,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,Americas
295,,39,295,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Service Provider,IBM,Japan,2012,Industry,14256,0,80333.0,144271.0,55.68,0,0,432.43,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
296,,39,296,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Service Provider,IBM,Japan,2012,Industry,14256,0,80333.0,144271.0,55.68,0,0,432.43,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
298,179.0,38,179,,"Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.30 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,16944,0,79363.0,155885.0,50.91,0,0,,,Cluster,Opteron 6176 12C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
299,180.0,37,114,CASE Cluster,"Oracle Blade Server X6275,  X5670 2.93 GHz, Infiniband QDR",DLR - CASE,Oracle,Germany,2011,Research,7680,0,79340.0,91130.0,87.06,0,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Oracle Blade x6275,Sun Blade System,Infiniband,Infiniband QDR,Western Europe,Europe
301,,39,301,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",Digital Content Provider,Hewlett-Packard,Australia,2012,Industry,7168,0,78820.8,149094.0,52.87,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania
302,,39,302,,"Cluster Platform SL170s, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",Web Company (F),Hewlett-Packard,United States,2012,Industry,14400,0,78783.7,153216.0,51.42,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL170s,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
304,182.0,34,61,,"Power 575, p6 4.7 GHz, Infiniband",Naval Oceanographic Office - NAVO DSRC,IBM,United States,2009,Research,5440,0,78680.0,102272.0,76.93,0,0,869.0,90.54,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,North America,Americas
305,274.0,38,274,,"BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Netwok Equipment Provider,IBM,Germany,2011,Industry,13956,0,78642.43,148491.84,52.96,0,0,372.82,210.94,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
306,,39,306,,"BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.260GHz, Gigabit Ethernet",Financial Services (H),IBM,United States,2012,Industry,15576,0,78404.29,140807.0,55.68,0,0,337.39,232.38,Cluster,Xeon L5640 6C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
307,,39,307,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Infiniband QDR",Web Company (C),Hewlett-Packard,China,2012,Industry,9462,0,77855.5,100676.0,77.33,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Asia,Asia
308,183.0,37,117,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,12822,0,77745.1,150273.8,51.74,0,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
309,184.0,38,184,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE",Communications,IBM,Israel,2011,Industry,13788,0,77696.0,161595.0,48.08,0,0,386.88,200.83,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Western Asia,Asia
