Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
133,107.0,56,47,Emmy+,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",HLRN+ at GWDG/University of Göttingen,EVIDEN,Germany,2020,Academic,120296,,5948.8,8911.2576,7253376.0,,,,,,513792.0,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,Linux,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),BullSequana X,BullSequana,Omnipath,Intel Omni-Path,Europe,50848,179883
134,108.0,58,83,Narval (GPU),"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",Calcul Québec/Compute Canada,DELL EMC,Canada,2021,Academic,76320,68688.0,5886.0,12165.35,1769472.0,,134.393,311.14,Submitted,18.91752909,,Cluster,AMD EPYC 7413 24C 2.65GHz,AMD Zen-3 (Milan),2650,Rocky Linux 8.4,Linux,NVIDIA A100,24,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,50800,180032
141,113.0,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,HPE,Saudi Arabia,2015,Academic,196608,,5536.99,7235.174,9738048.0,,113.868,2834.0,Submitted,1.953772054,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50205,178515
142,273.0,60,470,Grete,"MEGWARE GPU Server System, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",NHR@Göttingen,MEGWARE,Germany,2022,Academic,49600,43200.0,5458.0,7904.92,1392384.0,,76.2325,205.62,Submitted,26.5441105,,Cluster,AMD EPYC 7513 32C 2.6GHz,AMD Zen-3 (Milan),2600,Rocky Linux 8.6,Linux,NVIDIA A100 SXM4 80 GB,32,AMD Zen-3 (Milan),MEGWARE GPU Server System,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,50947,180092
147,117.0,55,47,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),EVIDEN,Finland,2020,Academic,169728,,5388.52,7060.6848,6362304.0,,,1070.0,Submitted,5.036,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,47508,179855
151,120.0,57,82,Berzelius,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",National Supercomputer Centre (NSC),EVIDEN,Sweden,2021,Academic,59520,51840.0,5253.0,9636.48,1536000.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Europe,48488,179953
152,121.0,58,95,"DiRAC, Tursa","BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",University of Edinburgh,EVIDEN,United Kingdom,2021,Academic,55552,48384.0,5228.0,8580.0,1457280.0,,,243.95,Submitted,21.43062103,,Cluster,AMD EPYC 7302 32C 3GHz,AMD Zen-2 (Rome),3000,Linux,Linux,NVIDIA Tesla A100 40G,32,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,49151,180018
153,122.0,53,51,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,88400,70720.0,5161.0,6981.4784,4455360.0,,,1436.0,Submitted,3.594011142,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS Linux 7,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Omnipath,Intel Omni-Path,North America,48296,179603
154,153.0,58,287,Dardel CPU,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-11",KTH - Royal Institute of Technology,HPE,Sweden,2021,Academic,156672,,5055.33,5640.19,5640192.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,48188,180013
155,123.0,59,105,Athena,"FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Cyfronet,Format,Poland,2021,Academic,47616,41472.0,5051.0,7709.18,1391616.0,,89.8331,146.56,Submitted,34.46370087,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-2 (Rome),FormatServer THOR ERG21,FormatServer,Infiniband,Infiniband HDR,Europe,47634,180055
158,126.0,56,58,Flow Type II subsystem,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,79560,70720.0,4880.46,7519.3,1880064.0,,97.1571,,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,50495,179897
161,129.0,55,55,Betzy,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",UNINETT Sigma2 AS,EVIDEN,Norway,2020,Academic,172032,,4724.79,6193.15,5054016.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,RHEL 7.7,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,50713,179861
165,133.0,51,32,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,72000,,4540.69,6912.0,5753080.0,,62.908,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,Redhat Enterprise Linux 7,Linux,None,18,Xeon Gold (Skylake),Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu PRIMERGY,Infiniband,Mellanox InfiniBand EDR,Asia,50421,179429
166,134.0,57,91,Discoverer,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR",Consortium Petascale Supercomputer Bulgaria,EVIDEN,Bulgaria,2021,Academic,144384,,4518.87,5942.0,5824896.0,,54.2586,,,,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,Linux,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Infiniband HDR,Europe,50867,179948
167,135.0,53,42,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,93960,83520.0,4478.0,7345.562,1999871.0,,120.271,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 6.8,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,50403,179692
168,136.0,57,93,Wisteria/BDEC-01 (Aquarius),"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,42120,38880.0,4425.0,7268.83,1347016.0,,84.7132,183.93,Submitted,24.05806557,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,Linux,Linux,NVIDIA A100 SXM4 40 GB,36,Xeon Platinum 83xx (Ice Lake),PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband HDR,Asia,50096,179963
178,147.0,61,147,Berzelius2,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 80 GB, Octo-rail NVIDIA HDR-100 Infiniband",National Supercomputer Centre (NSC),EVIDEN,Sweden,2023,Academic,33728,29376.0,4214.0,5139.45,1507328.0,,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,RedHat Enterprise Linux,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Octo-rail NVIDIA HDR100 Infiniband,Europe,48488,180132
179,148.0,59,121,Noctua 2,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Universitaet Paderborn - PC2,EVIDEN,Germany,2022,Academic,135168,,4190.9,5298.59,5241600.0,,,868.74,Submitted,4.824113083,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,49104,180071
187,157.0,59,184,Alex,"MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,37696,32832.0,4030.0,6083.65,1225728.0,,83.462,178.97,Submitted,22.5177404,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,AlmaLinux 8.5,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),MEGWARE NF5488A5,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,49515,180075
199,167.0,60,141,Delta,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Slingshot-10",NCSA,HPE,United States,2022,Academic,49600,43200.0,3812.0,8050.88,1448064.0,,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,RHEL 8.4,Linux,NVIDIA A100,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Gigabit Ethernet,Slingshot-10,North America,48420,180121
204,172.0,53,62,Orion,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",Mississippi State University,DELL EMC,United States,2019,Academic,70560,,3665.72,5419.008,4298880.0,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold (Skylake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,North America,48371,179690
206,174.0,58,132,,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",Shanghai Jiao Tong University,Lenovo,China,2021,Academic,59392,,3656.78,4941.41,5529600.0,,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,None,32,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Asia,50907,180021
213,178.0,59,323,Fritz,"Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2021,Academic,71424,,3578.03,5452.18,4543488.0,,53.3719,671.97,Submitted,5.324687114,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,AlmaLinux 8.5,Linux,None,36,Xeon Platinum 83xx (Ice Lake),Megware D50TNP,MEGWARE Cluster,Infiniband,InfiniBand HDR100,Europe,49515,180074
216,181.0,59,143,Anvil,"PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100",Purdue University,DELL EMC,United States,2022,Academic,127488,,3563.1,4997.53,5492025.0,,,792.0,Submitted,4.498863636,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,Rocky Linux 8.4,Linux,None,64,AMD Zen-3 (Milan),PowerEdge 6525,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,48657,180085
